Sample_ID,Data_Source,Molecular_Formula,Empirical_Formula,Dominant_Phase,Hf_content_wt%,Zr_content_wt%,Ta_content_wt%,Nb_content_wt%,Ti_content_wt%,Si_content_wt%,C_content_wt%,B_content_wt%,Valence_Electron_Conc,Sintering_Temp_C,Sintering_Time_min,Sintering_Pressure_MPa,Heating_Rate_C_per_min,Atmosphere,Atmosphere_Code,Powder_Particle_Size_um,Milling_Time_h,Milling_Speed_rpm,Ball_to_Powder_Ratio,Cooling_Rate_C_per_min,Homologous_Temperature,Grain_Size_um,Grain_Aspect_Ratio,Porosity_%,Density_g_cm3,Relative_Density_%,Phase_Fraction_Carbide_%,Phase_Fraction_Boride_%,SiC_Phase_Fraction_%,Mixing_Enthalpy_kJ_mol,Atomic_Size_Mismatch_%,Mixing_Entropy_J_molK,Omega_Phase_Stability,Electronegativity_Difference,Liquidus_Temp_C,Num_Principal_Elements,Phase_Stability_Index,Vickers_Hardness_GPa,Fracture_Toughness_MPa_m05,Flexural_Strength_MPa,Youngs_Modulus_GPa,Weibull_Modulus,Poisson_Ratio,Shear_Modulus_GPa,Bulk_Modulus_GPa,Pughs_Ratio_K_G,Critical_Flaw_Size_um,Specific_Strength_MPa_gcm3,Specific_Stiffness_GPa_gcm3,Nano_Hardness_GPa,Elastic_Energy_Density_MJ_m3,Thermal_Conductivity_W_mK,Thermal_Shock_Resistance_dT_C,CTE_1e6_per_C,Melting_Decomp_Temp_C,Specific_Heat_Cp_J_kgK,Thermal_Diffusivity_mm2_s,Thermal_Mismatch_Stress_MPa,Biot_Number,Phonon_MFP_nm,Cp_HighTemp_J_kgK,Reradiation_Flux_kW_m2,K_Therm_HighTemp_W_mK,Oxide_Thickness_100h_um,Kp_Parabolic_mg2_cm4s,Oxidation_Activation_Energy_kJ_mol,Hot_Corrosion_Resistance_Index,O2_Diffusion_Coeff_m2s,Mass_Gain_Oxidation_mg_cm2,Spallation_Resistance,BET_Surface_Area_m2_g,Milling_Energy_kJ_g,Green_Density_g_cm3,Densification_Rate_%_min,Sintering_Activation_Energy_kJ_mol,Powder_Flowability_s_50g,Carrs_Index_%,CTOD_um,J_Integral_kJ_m2,Notch_Sensitivity_Ratio,R_Curve_Slope,Fatigue_Crack_Growth_nm_cycle,Damage_Tolerance_Index,Test_Temperature_C,Oxidation_Rate_mg_cm2s,Creep_Rate_per_s,Emissivity,Ablation_Rate_mm_per_s,Leading_Edge_Survivability_mm,Plasma_Recession_Rate_um_s,Aero_Structural_FOM,TPS_Efficiency_Index,Service_Life_h,Heat_Absorption_Specific_J_g,Reusability_Index
UHTM_0011,Experimental,Hf0.03Zr0.11Ta0.01Nb0.06Si0.11C0.53B0.15,Hf2.5Zr9.1TaNb5.4Si9.1C45.1B12.7,ZrC,15.132,28.704,6.245,17.213,0.474,8.821,18.678,4.733,4.1873,1620.8,66.6,33.24,11.0,Vacuum,0,1.293,20.19,202.5,14.21,5.19,0.5345,1.471,2.815,5.188,6.0947,94.434,66.87,28.44,6.19,-5.441,15.0,12.0297,6.8837,0.4597,4000.0,6,9.657,24.848,5.949,851.01,344.08,9.97,0.185,140.49,199.34,1.4302,15.5533,146.249,56.456,22.619,0.001,48.577,100.0,6.8935,3113.5,372.94,21.5841,9.21,0.01,76.13,509.18,1158.734,8.017,500.0,100.0,225.37,5.86,1.73137e-14,200.0,0.5705,0.8354,8.3025,4.3929,0.55539,411.16,26.46,19.099,0.12662,0.11458,1.0,0.1798,0.000637,0.3639,1911.6,1.63595,1.2731e-08,0.8876,0.01316,15.0,6.5983,50.0,2.1346,281.69,706.27,1.349
UHTM_0012,Experimental,Hf0.11Zr0.07Ta0.05Nb0.05Si0.35C0.34B0.03,Hf4.0Zr2.7Ta1.8Nb1.9Si13.0C12.5B,HfSi,35.669,12.545,16.032,8.743,0.509,18.399,7.56,0.544,4.2423,1835.1,129.0,76.53,46.75,Vacuum,0,8.53,11.5,176.2,6.32,9.99,0.5876,33.733,3.028,0.318,6.948,98.273,49.05,24.15,24.62,-4.5729,15.0,13.2015,10.0776,0.4604,4000.0,6,13.152,23.821,6.483,495.58,433.03,5.0,0.2013,195.34,244.66,1.1465,54.4798,81.265,66.502,22.517,0.01508,46.807,100.0,7.4996,3490.8,400.69,17.125,4.78,0.081,5.0,553.74,993.097,5.0,500.0,100.0,236.6,7.413,2.910342e-14,200.0,0.6406,0.1,3.2782,5.1805,0.27133,426.69,60.0,22.106,0.19468,0.10214,1.0,0.5078,0.000806,0.2185,1863.9,1.26276,9.788e-09,0.8419,0.01427,15.0,8.1517,21.9119,1.3821,348.85,734.37,3.473
UHTM_0013,Synthetic,Hf0.07Zr0.10Ta0.03Nb0.05Ti0.06Si0.16C0.25B0.28,Hf2.1Zr3.0TaNb1.5Ti1.8Si4.8C7.7B8.6,HfSi,27.357,19.796,13.199,10.019,6.336,9.763,6.712,6.818,4.164,2018.3,49.2,62.83,44.05,He,3,1.65,11.81,368.0,10.87,38.16,0.6532,26.396,3.75,7.071,6.5621,96.209,57.83,35.84,12.1,-5.1277,15.0,15.2478,10.5225,0.4273,4000.0,8,14.129,19.716,6.863,536.89,340.23,7.31,0.1896,137.22,188.99,1.4235,52.0135,91.378,49.293,18.569,0.001,42.795,100.0,8.6398,3538.6,353.8,18.4844,7.17,0.0686,5.0,496.12,602.13,5.0,500.0,100.0,215.25,6.582,3.75605e-15,200.0,0.6056,0.6064,15.8575,4.8514,0.76703,417.8,26.549,17.251,0.26275,0.12643,1.0,0.4588,0.000413,0.3579,1595.3,0.68217,7.368e-09,0.8754,0.01446,15.0,7.9032,27.7778,0.4956,595.38,549.12,6.142
UHTM_0014,Experimental,Hf0.04Zr0.11Ti0.01Si0.21C0.33B0.29,Hf3.4Zr10.0TiSi18.6C29.5B26.0,ZrSi,21.733,33.227,0.983,0.341,1.736,18.961,12.834,10.185,3.9114,1716.1,161.4,70.83,36.84,N2,2,9.75,20.53,100.2,15.7,2.08,0.5655,44.983,3.533,5.893,6.5214,98.037,60.51,44.51,21.99,-3.9525,15.0,12.4127,10.3946,0.4138,4000.0,5,7.066,21.095,7.316,320.68,370.37,5.57,0.2079,152.36,212.04,1.4022,100.0,49.547,61.424,19.665,0.001,43.568,100.0,8.4094,3309.9,395.03,17.5647,31.73,0.0644,5.0,607.74,3008.628,5.147,500.0,100.0,218.98,1.0,1.2436614e-13,200.0,0.6073,0.2587,2.142,5.0581,0.20425,413.98,60.0,22.015,0.43874,0.15132,0.9291,0.6495,0.000365,0.4385,2486.0,8.10768,1.06582e-07,0.915,0.04738,14.097,25.6705,15.8303,0.8657,55.79,960.2,0.0
UHTM_0015,Experimental,Hf0.03Zr0.02Ta0.03Nb0.01Ti0.04Si0.21C0.40B0.26,Hf2.9Zr2.1Ta2.5NbTi3.5Si19.7C37.7B25.0,HfSi,19.197,7.192,16.554,3.445,6.246,20.567,16.798,10.001,4.1,1984.9,145.6,35.72,9.78,Ar,1,8.441,57.08,422.4,14.89,41.03,0.6889,8.637,4.243,4.318,5.9259,90.115,67.04,37.03,26.39,-6.6806,15.0,12.5029,5.9398,0.3814,4000.0,7,10.302,22.477,6.558,887.29,366.81,11.47,0.2012,155.6,207.53,1.2915,17.3863,155.437,68.705,21.451,0.01208,41.777,100.0,7.5583,3173.8,439.79,15.7652,15.31,0.01,28.858,624.7,2409.604,6.771,500.0,100.0,229.77,2.55,1.6972196e-13,200.0,0.6312,0.1,30.0,4.1514,0.18912,412.25,60.0,18.945,0.12942,0.11264,0.9766,0.2652,0.000497,0.2781,2322.8,5.13855,5.5907e-08,0.9357,0.03858,14.816,21.081,50.0,1.1662,94.13,1001.6,0.0
UHTM_0016,Experimental,Hf0.03Zr0.02Ta0.04Ti0.03Si0.29C0.29B0.30,Hf1.5ZrTa1.6Ti1.4Si13.5C13.4B14.0,TaSi,18.716,6.451,21.094,0.129,4.686,26.82,11.411,10.692,4.1053,1755.9,115.5,36.94,39.91,N2,2,5.059,65.21,131.7,14.37,1.68,0.6093,40.303,1.179,0.483,5.9154,90.153,60.53,40.35,35.23,-4.881,15.0,12.4571,8.7384,0.355,4000.0,6,9.528,21.611,5.816,353.73,397.92,5.0,0.2047,169.2,219.28,1.3315,86.0513,65.064,69.277,20.497,0.001,41.325,100.0,7.3872,3424.0,374.46,19.1676,0.75,0.0405,5.0,516.07,1679.667,9.508,500.0,100.0,241.93,4.873,5.344335e-14,200.0,0.5959,0.172,11.3938,4.394,0.28113,399.74,45.621,21.999,0.2505,0.08829,0.9506,0.5656,0.000785,0.232,2124.4,2.82642,2.0914e-08,0.895,0.02773,15.0,16.0513,20.4004,0.637,157.42,777.91,0.0
UHTM_0017,Experimental,Hf0.06Zr0.08Nb0.05Ti0.04Si0.09C0.64B0.04,Hf1.6Zr2.2Nb1.4TiSi2.6C18.3B1.1,HfC,27.873,19.454,4.875,13.11,4.689,7.265,21.585,1.149,4.1684,2131.7,139.5,23.32,41.36,N2,2,9.816,70.21,176.6,9.24,33.2,0.6975,39.702,2.186,2.011,6.9121,99.9,68.11,24.57,3.11,-4.6097,15.0,10.7971,8.2947,0.4784,4000.0,5,13.017,22.881,7.459,441.61,392.95,5.0,0.1905,170.44,217.08,1.367,90.8137,56.852,54.276,21.702,0.01065,45.222,100.0,8.004,3541.3,424.29,16.0863,2.55,0.0418,5.0,546.84,926.665,5.0,500.0,100.0,204.43,6.289,1.182163e-14,200.0,0.6433,0.1,21.9001,4.5701,0.31638,445.52,60.0,20.762,0.33468,0.13938,1.0,0.602,0.000363,0.3325,1806.0,1.05955,8.514e-09,0.8754,0.01798,15.0,10.4692,20.3001,0.5579,401.16,771.18,4.343
UHTM_0018,Experimental,Hf0.06Zr0.11Ta0.02Nb0.06Ti0.07Si0.20C0.35B0.14,Hf2.5Zr4.4TaNb2.3Ti3.0Si8.2C14.7B5.7,HfSi,24.262,21.608,9.715,11.521,7.696,12.433,9.466,3.298,4.1794,2137.4,218.3,45.77,39.55,Vacuum,0,1.064,16.72,254.5,10.67,18.89,0.6986,6.795,2.121,2.862,6.9749,99.9,59.46,27.94,15.79,-4.2382,15.0,14.992,12.1129,0.4639,4000.0,7,3.789,22.846,5.912,900.0,400.62,14.66,0.1979,173.62,229.8,1.334,13.7363,111.524,60.118,21.886,0.00121,48.217,100.0,8.3403,3424.3,399.48,17.8231,17.66,0.01,42.455,537.39,747.563,5.417,500.0,100.0,212.13,5.892,1.29637e-15,200.0,0.5777,0.5523,10.729,4.9348,0.22671,442.88,28.721,22.231,0.10135,0.07858,1.0,0.2451,0.000681,0.2415,1693.1,0.84803,5.694e-09,0.8834,0.01937,15.0,11.2177,38.7644,1.1517,475.89,671.32,4.812
UHTM_0019,Experimental,Hf0.08Zr0.18Ta0.05Nb0.02Si0.36C0.27B0.04,Hf3.6Zr8.3Ta2.6NbSi17.0C12.8B1.7,ZrSi,24.513,28.966,17.868,3.564,0.213,18.302,5.88,0.693,4.2074,1778.4,71.2,64.78,10.13,Ar,1,3.1,63.45,293.9,6.54,30.96,0.5661,20.229,1.584,8.541,6.9633,99.9,41.29,25.98,19.11,-6.8037,15.0,13.2915,7.0259,0.4595,4000.0,5,11.86,24.628,6.225,679.88,327.46,9.12,0.1992,142.08,166.41,1.0901,26.6871,88.667,55.432,22.944,0.00181,39.135,100.0,7.3867,3596.4,395.59,14.9244,0.0,0.0447,5.0,492.13,290.415,5.0,500.0,100.0,232.7,7.175,1.48408e-15,200.0,0.6675,0.6028,30.0,5.1274,0.56165,449.57,32.231,22.157,0.17171,0.11577,0.9465,0.3807,0.000534,0.314,1277.3,0.39361,2.146e-09,0.8798,0.00745,15.0,4.1237,40.4649,0.6667,1062.8,498.25,7.561
UHTM_0020,Experimental,Hf0.04Zr0.03Nb0.05Ti0.05Si0.25C0.50B0.07,Hf1.2ZrNb1.6Ti1.4Si7.2C14.5B2.0,HfSi,22.818,9.899,0.767,15.713,7.501,21.984,18.935,2.382,4.141,1738.0,34.7,88.63,33.98,Ar,1,6.418,23.63,242.0,15.79,35.11,0.5985,8.923,2.157,0.398,6.6389,99.317,66.1,26.03,27.38,-5.6854,15.0,11.9746,6.2857,0.4295,4000.0,6,13.277,25.065,5.304,877.89,401.38,10.69,0.2015,163.57,209.07,1.3503,11.6194,146.622,53.803,23.348,0.001,45.91,100.0,6.679,2984.4,445.61,15.1538,20.85,0.0929,42.89,582.78,441.193,5.0,500.0,100.0,216.01,7.93,2.27912e-15,200.0,0.5853,0.1,13.6494,5.278,1.18553,409.25,49.405,16.297,0.07435,0.0713,0.9283,0.2519,0.000895,0.1698,1458.6,0.4696,2.998e-09,0.8631,0.01701,15.0,9.4776,49.2415,0.191,774.61,627.63,6.826
UHTM_0021,Synthetic,Hf0.08Zr0.09Ta0.03Ti0.09Si0.29C0.33B0.09,Hf2.3Zr2.8TaTi2.6Si8.7C10.0B2.8,HfSi,29.585,18.697,13.136,0.851,9.073,17.753,8.745,2.16,4.1183,1846.8,210.9,73.35,42.54,Vacuum,0,3.565,8.12,228.3,12.56,17.78,0.6032,13.109,2.239,2.905,6.7211,97.583,51.74,29.86,21.56,-3.9458,15.0,14.1675,12.1909,0.4567,4000.0,6,5.584,22.155,5.528,784.85,408.98,11.0,0.1929,167.06,204.4,1.2247,15.7906,138.907,66.391,21.365,0.001,49.361,100.0,7.9366,3395.3,455.3,16.3787,14.59,0.1064,11.822,642.29,1656.003,5.0,500.0,100.0,223.86,5.306,1.2114787e-13,200.0,0.5602,0.1,4.2855,5.2688,0.18978,421.4,38.868,17.387,0.0882,0.076,1.0,0.2916,0.000813,0.2209,2160.9,2.97525,2.9582e-08,0.8334,0.0214,15.0,12.8491,36.0525,1.0535,143.14,985.75,0.0
UHTM_0022,Synthetic,Hf0.04Zr0.07Ta0.01Nb0.07Ti0.05Si0.12C0.43B0.20,Hf2.5Zr4.8TaNb4.6Ti3.6Si8.3C29.1B13.2,HfC,18.876,18.42,7.543,17.778,7.105,9.752,14.576,5.95,4.1937,1744.3,151.2,54.83,30.98,N2,2,9.291,62.64,485.6,15.63,6.29,0.5835,13.531,3.088,0.827,6.2486,95.162,63.61,33.52,12.97,-4.5443,15.0,13.7677,9.7904,0.4466,4000.0,8,4.592,25.93,7.009,881.19,451.67,11.2,0.1849,190.9,253.65,1.3643,20.1401,140.111,65.839,24.695,0.001,49.455,100.0,7.0653,3231.5,369.16,21.6484,0.0,0.0478,10.935,485.44,715.777,5.704,500.0,100.0,208.5,6.884,6.2539e-15,200.0,0.6592,0.1246,30.0,4.6403,0.22506,449.23,60.0,17.506,0.11642,0.10702,1.0,0.3151,0.00055,0.2659,1680.6,1.08184,5.338e-09,0.8659,0.0107,15.0,6.5565,44.2158,1.4521,415.47,625.61,3.707
