Formula,shap_R_16,shap_R_14,shap_R_35,shap_R_17,shap_R_11,shap_R_33,shap_R_12,shap_R_13,shap_R_22,shap_R_31,shap_R_32,shap_R_20,shap_R_28,shap_R_19,shap_R_64,shap_R_29,shap_R_09,shap_R_25,shap_R_36,shap_R_30,shap_R_62,shap_R_26,shap_R_66,shap_R_58,shap_R_68
B0.148Hf0.198Si0.520Ti0.135,170.07207871169823,-113.22826141683782,-59.93277541547218,-186.35699306328806,-44.01856710961889,-29.450564379417585,-17.822799884664807,-4.0065645624880535,-7.973773482622108,2.493992058914606,3.154089877340258,-2.981242373680482,2.0699107987454184,-1.961149213164971,2.378399510930294,-0.6511770575115575,0.9188314574696748,-1.7573493610572493,-0.6133928773740399,0.259396605338559,-0.11307575443410225,-0.30247394576503106,0.5016449208121299,0.017400379389346465,-0.20129189075216877
B0.634Hf0.025N0.061Ta0.023Ti0.120Zr0.136,140.52321948129244,-100.04374987133097,-53.16087310819619,42.444374385424716,-36.8150973313203,-21.15474247769765,-12.359318072991153,-1.194348152754607,-8.616948456322131,-8.055564533287546,3.437569333403459,-3.3703915335434695,1.1340066111177518,-2.3837647099261017,-0.3091944285105063,-0.743276325400909,-1.4261545517877932,0.9107971910067522,0.9845345590684906,-0.5733684194381901,-0.5012812787197151,-0.11738759859813461,0.27970911018401384,0.32993960662696586,0.4209661497543056
B0.055C0.123Hf0.286N0.015Nb0.101Si0.267Ta0.102Ti0.037Zr0.014,211.9863950016291,-43.441883212810616,10.181689810898838,-55.90249981263284,-29.3010097361433,22.028577283685376,-2.672400837955332,5.9925714605677225,12.985003688701074,4.3488507067952575,2.3130952288945235,3.5729959349912366,2.5680577348342575,2.373802353568724,-0.18126246148793324,0.04482189265755438,1.3077879688350225,-0.9596644140463894,0.33562586401464317,0.44573782922855415,-0.6711896228538881,0.06201898749436305,-0.3082809198741622,0.21438587185365982,-0.40233688900917497
N0.133Nb0.745Si0.057Ta0.035Ti0.030,-30.79330057518436,-80.98154939572136,-45.551320743010706,33.62691103641706,-28.371329019448265,24.11713836625489,20.6322063009305,9.688089116039396,-4.521522786803705,2.267525466128789,5.895799133551326,-2.2393981779835728,2.2892068398015555,-1.1226732949504392,-0.17167826176972203,-0.5926041242602822,-1.1630752203911212,0.6072555973199045,-0.40611968921809233,0.45305129092037666,0.03277676799300443,-0.31600230740988156,0.3514998340278517,0.41915379129349073,-0.6572740289376676
Hf0.075Nb0.018Si0.509Ti0.041Zr0.358,164.88192515933676,-108.05787383177308,-61.420945172896374,-193.07432321939044,-44.02688837771617,-30.11402390440864,-17.772174236788906,3.957979126219254,-8.030294334597425,3.242770408795106,-11.979476704688743,-2.873507881035923,0.15640920309307313,-2.100409792513509,-0.4831138922807664,-0.7189516848349843,-0.6826809725990816,-1.3850606456161252,-0.6518210829402917,0.254424767681818,-0.47365044097791686,-0.3199374488525253,-0.30563427392596254,-0.2403850419839353,-0.12214529161757667
C0.174Hf0.366N0.053Nb0.104Si0.042Ti0.084Zr0.176,187.2896373563079,28.907673403343015,-52.40993806604427,35.78596653618451,-24.8638825687242,-10.808987422664773,-2.69614150604798,1.863981799419054,21.510265563494304,-8.892265507005447,2.306836226671322,5.883186370063341,1.6835087058166296,-1.6549580975094162,2.6532191494735673,1.1901829000392024,1.5395378611499793,-1.4222014761049147,-0.4922192205567413,1.2201614118559525,-1.024677421476624,-0.1970906116683501,-0.3226861589053958,-0.4051475520456696,-0.294968937859609
B0.197Hf0.081N0.097Nb0.070Si0.463Ta0.044Ti0.013Zr0.035,19.376141566418152,-102.11459741071113,-56.692463979160465,-130.13736217844607,-40.47035558322836,-14.541912512380167,-6.3831702025051955,8.894430559145269,-7.248515106315218,-2.119955381333746,-9.217121111523662,-0.8043692259538344,1.2169822396107706,-0.7502529716803612,-0.30520822053098823,-0.730601468587913,-1.9471000667632101,-1.030405201537494,0.5366773196158001,0.06019093394959578,0.26422014263115773,0.0396012428015491,0.023935096344773667,-0.0027474635516190338,0.06953602766213912
B0.085C0.104Hf0.113N0.284Si0.116Ta0.020Zr0.278,-390.4446717182521,-6.671730841498294,-31.51769279825109,8.432487446787368,-15.741554320402505,-7.9258182462727556,-5.1495623554911205,4.611023683686193,3.6970921521644238,-4.626404104584791,-4.409613226850919,-1.8468947589868019,1.6308230465325178,1.037918987495333,0.07688609344794689,10.559529169266538,-0.15189203256455755,-2.611043849679665,-0.36413066817243883,-0.5988363220040225,0.128874009867904,0.383650847946497,0.5705597668539913,-0.9602014563056378,-0.17261437681665395
B0.036C0.027Nb0.185Si0.070Ta0.064Ti0.617,214.52276429583466,-82.51815231139337,-45.51369426880403,28.65320644982497,-35.96588608642,13.95389602604067,-2.4034409740884946,-31.144713915672654,-5.790986857119272,3.177388112750349,3.211294289899026,-5.372437137270464,3.853157624113477,-2.5342733553386045,-0.5304628544208687,-0.594905134980914,-0.6157612197603506,1.031463406132403,-0.18871502155416306,0.2850384969913444,-0.21157347120498332,-0.26546350682939546,0.15982262174923995,-0.5125830846993408,0.21901166637121022
B0.013C0.031Hf0.097N0.295Nb0.182Ta0.034Zr0.348,-418.42365573557964,-46.37692706117573,-30.422902952765952,20.346676898558684,-15.81986585128658,4.926706036710132,1.0277042386119415,4.7516268923046585,-1.1408778260097419,-4.660765859608992,2.3264205544634096,4.084185383270344,1.547856659158853,2.5043958452050523,0.016852292296367387,9.78748506790807,-0.4283519771670495,1.533857460194777,-0.729944716259664,0.3098247230235717,0.021877222010620534,4.328560258674784,1.3432769580664163,0.14812774355929698,-0.303313948913373
B0.135Hf0.164N0.177Nb0.270Si0.135Ta0.119,-90.94574989515,-85.78735873835832,-47.66528883589827,7.676876629622847,-25.385700785035375,20.42789298401308,8.127205132862608,10.97859920133616,-4.316394562263301,2.1537650451596746,4.337381283038803,3.990866181416503,1.7712429984800802,1.9054453105318232,-0.2631739329606556,-0.6065151625242542,0.5546314662902095,-0.5918062121270545,1.340704381543625,0.4887396326885253,-0.08478617857662585,-0.49077833729562836,-0.1744702930518418,0.05112772452254855,-0.5983432820604528
Hf0.169N0.126Nb0.054Si0.321Ti0.090Zr0.240,-33.07421690704771,-98.3012268690869,-55.98967236652394,-86.22812389431931,-42.89712850633401,-18.296558773951595,-5.780003421478392,-5.760921279990119,-6.931491234295031,-4.7217103864746255,-18.244790280130253,0.4832431671472253,-0.4977572029348168,-2.1179446096307206,-0.45592443297990515,-0.9421375038656438,0.696346659412078,-0.6511251905666694,-1.3530494873198535,0.5647552253734781,-0.13491251363382478,-0.5984422367726793,0.31475534744533984,0.08380154000804307,0.14693316516667282
B0.342C0.054Hf0.018N0.155Nb0.261Si0.011Ta0.126Ti0.013Zr0.020,-56.73720018376796,-75.34445292999435,-31.501330315548262,34.910799474003326,-9.683697441583389,28.52602164591113,6.529021117894386,9.36478660519478,-3.4608895485803775,-1.8625196124505463,5.888853039015745,-0.7921726119053384,1.4190789184412127,-0.6230955625937371,-0.4888591741050835,-0.35260747614657195,-1.0110819263473634,0.5018924442786852,0.7772707797492486,0.2161233880927008,-0.15669517384217038,-0.27527618262930165,0.3750004364256301,0.5431707366635644,-0.3123688838333075
B0.180C0.028Hf0.051N0.252Nb0.026Si0.055Ta0.094Ti0.097Zr0.216,-335.98341022629955,-55.994656479516586,-26.04573536960189,19.2735204483764,-19.28144781803531,-8.272335214638845,-4.814268299254048,-2.0182945768977882,-2.6744067304546357,-4.418978353440723,-2.2742237975019615,-1.295769078460564,-0.2403585621808924,0.9167647357091082,-0.24546171857178073,6.5845117194100515,-0.4785706286936201,-0.20943178964511766,1.4465084835186268,-0.7055330278301248,-0.043710892779409274,2.864968330303225,-1.2333103514389403,0.31842182244034284,-0.5749568315078878
B0.188C0.153Hf0.051Nb0.258Si0.194Ta0.044Ti0.042Zr0.070,224.66190968835025,15.981754514903658,-35.05359345357666,-24.753578400633405,-24.372398719540183,21.95319183734912,12.49468697821201,6.47923086704608,3.390102511866187,5.0085926787103725,-1.678531300532709,1.4673032261190362,2.287409136883595,-0.6011040409032627,-0.5152276272104167,0.9568457134956323,-0.45857871301890507,-0.5933596312300398,0.6048585528114796,-0.932071379270963,0.2932906733209647,-0.09101482303893266,-0.20266710171012764,0.013334034209382083,0.29769138660675926
B0.038C0.052Hf0.031N0.230Nb0.054Si0.017Ta0.418Ti0.148Zr0.012,-219.7565993494979,-55.70281892008797,112.69228237604959,20.740467579055988,88.64488526700724,13.12130797489282,-1.9925400662090995,-3.090939881585781,-1.5515194079534365,0.049417934141598924,2.1526704387091127,-1.6560727151633492,0.09657676009294508,0.9212545528106327,-0.3203502155379925,-0.152712680723734,-0.7060169236195613,1.2159185849809635,0.9484790585413381,0.037586738464247586,-0.021136278400974942,-0.0866898403031345,0.22761957350702453,-0.6820039920440869,-0.012740042401939919
B0.028C0.012Hf0.014N0.126Si0.031Ta0.105Ti0.098Zr0.586,-15.907280038053864,-88.4851801042993,-48.638903811989174,36.629431853225846,-27.399640155464212,-17.103028026641113,-7.085660201964804,-2.0217250235254083,-7.275090182709696,-7.896863225144176,-12.262822926243013,-2.3015432782957452,-8.673787045868991,-1.8471025307200193,-0.5634148013453562,1.149024253635219,-2.5153674415457012,0.6486301868664417,0.0897543520562877,-0.5797834062653385,0.22707616444979384,0.7610840649128141,-0.0741580500216373,-0.3665177722217513,-0.17354726000187437
B0.065C0.200Hf0.112N0.091Nb0.075Si0.030Ti0.300Zr0.128,38.889535488478536,95.77116258296313,-55.73989824825425,33.51435631943673,-19.888033678025558,-9.01383196122327,-4.601954053404868,-5.593658358126,13.824190308410502,-5.394207936747025,4.053460062213162,-1.1674014036248919,-1.9868085309123409,-1.9878826840826764,0.14887871180960857,1.2175161157354843,0.5410767837725041,-0.06949464631739477,-0.3495831962770491,-0.6507038350926491,-0.40997997899597804,-0.41767216237367855,-0.1075915436510115,0.5176902207995667,-0.31064126242839535
B0.167C0.030Hf0.062N0.158Si0.295Ta0.045Ti0.078Zr0.165,-88.98083771265897,-96.36569320990591,-51.75555569364595,-81.10418496853744,-43.651422408661716,-16.67754427813204,-6.1457682694558375,-6.225815916796109,-4.494685961051743,-3.730869837710684,-13.916259081666087,-1.722764680235359,0.04009240809185759,-1.042581470171301,-0.46041270642371945,1.048979509389171,-1.7111449711962126,-0.6058316564744353,-0.5147188432799042,-0.5339650635230271,-0.3490979995346204,0.17632429691187784,0.17519181495881703,0.01766955628492159,-0.2675477619432291
B0.038C0.211Hf0.199Nb0.061Si0.076Ti0.149Zr0.266,222.32854927522754,153.28844890455198,-53.969364485237584,20.480961221214564,-18.332681747888532,-10.797134185146755,-7.73903730672338,-1.979429341377126,10.904607330391801,4.832553610565917,-6.983810326307555,1.66213866605831,-3.8574441927819323,-4.447603032149152,-0.8778715536276216,1.2062083844947231,0.5238314402775792,-2.1676260669418874,-0.4697690837864097,-1.2896948360116252,-1.2745687841238278,-0.3615355510827084,-0.9141440108579056,0.28521668901314384,-0.8456185248978575
C0.031Hf0.049N0.137Nb0.209Si0.302Ti0.234Zr0.038,-83.39661060756617,-95.22538735202252,-53.06599996500621,-80.54157886742443,-41.857809553225906,-16.312710248320233,1.6476351199905102,-12.617884722178335,-4.6463165778370605,-2.5672549703591656,-1.7249258727531336,0.4117269896461496,0.24439460886402764,-1.6421641126639854,-0.32928523060173587,-0.8315997146838413,-1.778493566407371,-0.7239543718197871,-1.3091705055767073,0.44201664314216693,0.26453457889363907,-0.5625809984736393,0.23135371553891734,0.16044568380232144,-0.42935231267604534
B0.231C0.094Hf0.172N0.232Nb0.097Si0.067Ti0.030Zr0.077,-200.25134615306362,-43.889212881521075,-44.46533551582721,23.56374361346346,-28.448397991865598,-11.367770377058338,-2.6465015384300297,5.725009728404022,9.868359224710277,-4.632163279843934,2.1894565981004774,1.8014557980111483,1.1314087514335003,-1.2427686889655325,-0.577547953830311,1.9901606997338204,0.3561444912687496,-0.8242158131356293,-0.7338105295634735,-0.8199509931230701,-0.0378494885617737,-0.3011722056494461,0.15440627076369762,-0.10042483416534718,-0.4558503135587382
C0.560Hf0.022Ta0.278Ti0.107Zr0.034,266.1785644894325,543.1351176460043,166.39181698121578,39.1374193082894,25.965269173725936,-7.829646646642461,-2.815856564263069,0.32932658782016155,2.409183024742852,6.078365841782823,3.0545266444213715,-1.7370957852405726,1.1678762487820769,0.738884734549341,33.6225279315127,1.3749707528793516,0.10171016254634668,2.0138785125061,0.7764543218652428,0.6486383020105524,-0.1741892030272262,0.3548613619202034,0.008895780412060725,2.85882502809392,0.06795688306449393
B0.153C0.405Hf0.096N0.103Nb0.018Si0.013Ta0.160Ti0.012Zr0.039,64.16509361950033,294.0639267536561,164.51102258208556,27.27923893698368,11.81545790469917,-3.7124005248267298,-2.375019921803651,3.626297583971642,6.223400682693583,-6.083186300319355,3.3622736659874506,-1.559442882975691,0.7450759429304428,3.421483176829759,-3.8285435279678826,0.8634946852720294,-0.5106410349786183,-1.2751171585550811,0.5133341614667688,-0.4045199094317711,-0.2958522020258336,0.34763971197443994,0.328836045506723,-1.1120951193877744,-0.15742668574937738
B0.125C0.231N0.070Nb0.051Ta0.236Ti0.266Zr0.021,168.50418697162746,136.0877593387246,147.71934785548916,22.76891856361633,17.833893472723453,8.169659173128924,-2.9597027250031567,-4.7205552543685405,-3.278665477319498,-1.529876846014704,4.369567611954615,-2.1092309359764547,0.5919340985091738,-5.436621994737865,-1.3490201560331472,0.2865061622683455,-0.5928751506753209,0.938976608892896,0.5222839954851485,0.9911523376242009,-2.1931938245382945,-0.11600164600915347,0.8203048481950145,-1.8702244045923553,-1.053804551656495
B0.011C0.078Si0.204Ta0.227Ti0.481,197.97411611836353,-76.89691220437295,79.203460024585,-42.378833373359825,20.538045853935007,-16.606478724599523,-6.584317955142476,-12.530024794040823,-3.8747947897924915,3.286594849778611,3.366970382297563,-3.3412819204939086,2.0374870977711756,-2.6911222799046057,-0.3112532166693932,-0.6624120484820397,-0.5997466565018345,0.7819850920818272,-0.31844620843480625,0.3880335689918353,-0.24004507709513545,-0.4063099546944316,-0.21347698095464573,0.5990797689448817,-0.5825320147869273
B0.012C0.108Hf0.095Nb0.117Ta0.053Ti0.027Zr0.588,222.0470133067438,-55.0281146020333,-38.391033694618436,40.700988248057094,-30.76572361690701,9.304738945851536,-2.8352406546111593,8.363348499628579,7.099078547536013,6.382333359542684,3.879600509820418,1.4272825272726628,2.3105823280916775,-0.007269941948861793,0.187353071967274,1.0007077007058478,-0.6080513452381443,0.9090415607727053,-0.4071759450552734,0.2537162951976394,-0.3296261890057317,0.40511997400949484,0.29527241952761124,0.27788320342474226,-0.49518988165248634
B0.054C0.280N0.139Si0.129Ta0.175Ti0.177Zr0.047,-32.2984045273757,154.1726534125551,130.2388698790277,-2.2851101937562546,16.73660689738169,-10.037841082288926,-5.045889097354573,-3.675378397077664,-2.5911423360015204,-7.065332513908609,0.8576695077779711,-1.1712682280445432,-0.7456739171859842,-4.126889321940333,-1.1849836652173238,0.6753505433105792,-0.6041060329704888,0.8718052257243122,0.2217124190327227,0.590923521279169,-0.6258092818559784,0.7872885410139953,1.3272577089386801,-0.2360997206747278,-1.159774969554153
B0.439C0.189Hf0.013Si0.154Ti0.177Zr0.028,220.73794106095914,63.83265366423533,-54.900237226545684,11.822200889548244,-26.822728859214763,-13.312522961538205,-11.26059584136009,-6.799794035096239,-3.99550539919258,6.216326173946693,1.3345197473256354,-3.684538832207959,3.4890625331464693,-1.849185263773857,-0.2862676148236975,0.3213120510845897,-0.7291121595078602,0.12088775039649435,-0.4273811982604526,-1.0421026429414773,-0.6820335424310201,-0.3008533652658146,0.715655663957805,0.2374723740627422,-0.5700581826541168
B0.018Hf0.054N0.235Nb0.310Si0.297Ti0.086,-257.0109476500175,-93.77113196418769,-53.87294469884455,-63.256040533837584,-30.107690344004205,-12.457100943687713,10.791754918160457,-5.905562203169477,-3.7647532943222703,2.3486409646422364,2.9618602915767482,2.383661656566715,1.232285159668864,-1.5744365721204212,-0.6721890462375376,-1.6890183869896815,-1.1407075164993628,-0.6643135702418071,-1.1179264955094388,1.564424990673147,-0.21044139462551065,-0.9755402591148739,0.9410765413206131,0.07565931079948737,-0.6453853517399488
B0.107Hf0.154Nb0.294Si0.061Ta0.252Ti0.069Zr0.062,235.90299586887411,-70.76782530028473,-46.658370420714924,33.34538345477249,25.312507926662473,40.14270725138406,12.175982170096923,6.669014078447228,-3.061876235666303,6.071671172121905,2.073365860480546,8.160716224315573,3.4044408172513765,2.996047773578658,-0.6134483703931386,-0.5658624798188494,0.4633903611005915,-0.6158631298501792,0.8017667429276607,0.5566727319121518,-0.3570885618008014,0.471787680980425,0.3795029876410788,0.5768798472310362,-0.23844999513406334
B0.188C0.039N0.229Nb0.012Ta0.350Ti0.181,-198.1472298828763,-60.67270113841858,37.138534898403954,26.463668423708597,76.17290566280882,1.0996223456332312,-2.830491595514729,-3.2274267903497895,-2.3937253618851044,4.115410311138123,3.1469687284232757,-2.415810588953042,2.1875380346945397,-0.8506936155234711,-0.3658276527988302,-0.3539900548525783,-0.8389186989031678,0.7270837608292523,1.9574341643093898,1.4856852402757166,0.22894802052389013,-0.17085331316920035,0.256211708973021,-0.43503774490381397,-0.0992228468417722
B0.029C0.068Hf0.235N0.408Nb0.109Ta0.122Ti0.027,-642.1301487299836,-43.106058716358426,17.984560608012206,17.59501862805779,-9.629216487046275,7.571798281906353,-1.262497732066044,3.915953050177934,11.606235730544158,3.2799563465521997,2.5689339656113828,2.8273735589915745,1.6305752154631472,2.584490100372243,0.31519613854064965,-1.8172896122468458,1.1803127873613415,0.5412913151876855,1.8687460422387416,0.9241566096946376,0.7321794915897014,-2.1144185448683244,0.41605941384720146,0.4785324458656785,0.5119970328011667
B0.099C0.015Hf0.056N0.084Si0.168Ta0.042Ti0.537,32.58850223599996,-99.77254424781064,-55.84216814712717,-12.744254593885072,-39.9355607470658,-16.171503378403337,-8.683934400652104,-20.687566769384805,-9.488514812301089,2.8486867691091553,5.267250981159387,-2.207936560271497,1.9432101241677207,-1.2241892184703462,-0.3986359284951587,-0.6407438989528083,-2.9825443378257854,-0.7599299484592846,-0.14039385929267217,0.37212014535512766,-0.3279222529548832,-0.9169060396032357,-0.14439233396400095,-0.5789412068789945,-0.37208832068599706
B0.013C0.060N0.247Si0.135Ta0.290Ti0.238Zr0.017,-368.39755081796795,-39.889767322358765,77.90337290219223,-0.4009840655887642,41.79517789787165,-9.778047717752232,-3.4019273349929593,-6.117628178177108,-2.4135312506912805,-0.9937670653300378,1.886168870504068,-1.9920134265113816,0.5389453645757024,-1.4704088843201109,-0.2835248665235925,-0.17413775802010045,-0.8857894366985256,1.0388327381136129,0.48075227961703354,-0.01735080210710755,0.14714288121718766,1.6168677569402876,-0.07651780247410483,0.0016672141763647667,-0.5429617156489522
B0.511C0.025Hf0.058N0.048Si0.026Ta0.018Zr0.314,165.7829658232857,-88.03599134911224,-50.63591318095259,41.87161369037986,-35.4282540158988,-20.709446245190115,-13.009384081893874,5.5828017451065355,-7.287922729062788,-11.401517382498865,2.0246489746119134,-4.013355106033642,3.811716050589626,-2.3617223896738904,-0.4571056069308632,0.5990263588722683,-0.8192298648025794,-0.16769306753154978,0.47927649762564584,-0.5504211712046705,-0.20721748278095506,0.07441884799617188,0.2736966017177213,0.21736250547540775,0.29075062136718677
B0.011Hf0.011N0.018Nb0.118Ta0.112Ti0.079Zr0.651,210.9612368883399,-94.71310945172884,-48.491289074328975,34.405861627378435,-32.89490523893373,17.99983180904849,-4.109526605920022,3.6712788190316545,-5.744003266176413,-9.461318232515392,3.7174848171708157,-5.1060607677034415,-18.765616713849823,-2.0695476619727122,-0.02478262147738835,-0.9100880449054495,-0.6162842670257849,0.8757519919511281,-0.4940555158402776,-0.23491547160682777,-0.2689504868801297,0.44320468836595805,0.3599578193651256,-0.48385772402808497,-0.19360640397633738
C0.318Hf0.307N0.141Si0.113Ta0.025Ti0.035Zr0.061,-21.785413122681625,260.2274431559624,-28.430372599866477,7.528825590615897,-15.158729419039698,-9.332434193662396,-6.046250895395715,4.781676148715787,11.001963594345941,-3.9103770511240583,4.547521429384312,-1.4696652140398316,1.0127172431538445,2.26991324647039,0.07703646224859173,0.929736321578532,1.8142557383800382,-0.724301874942748,-0.3624191651607548,0.6244072106252232,-0.6375822503264255,-0.3572814188560539,1.2364146237452995,0.5818270378855226,0.07343134511666187
B0.533C0.112Hf0.012N0.168Si0.125Zr0.050,-86.5424178304017,-54.99600210988173,-50.4900772104762,14.137276660935354,-35.487962149282914,-14.351993134058528,-5.781179401950864,9.780720743109018,-5.221355311127595,-3.6051080248890024,4.318646144584356,-2.1379726824782264,1.869320790640171,-1.6594271395478697,-0.4532960868459589,0.5032650923291517,-2.3316026670113996,-0.02039409367998666,-0.6758531222909331,-0.6303240480628758,-0.04716187672903894,-0.5649482561113742,-0.09984360466766343,0.2088031264794304,-0.4370722298419904
B0.405C0.073Hf0.034N0.104Si0.040Ta0.079Ti0.246Zr0.018,13.242388994891673,-79.81454531262213,-34.512876246968325,38.084802188340156,-28.965664922504136,-13.872794439036975,-8.020492084553636,-6.426282660070479,-6.333441751402679,0.6732763367854424,5.991062885651353,-2.397122658414131,1.4428597055213546,-1.0172044097393844,-0.6638065196235451,-0.4822168728243268,-2.576991978707509,0.18148062821082564,1.4996220734546903,-0.2986115329935893,-0.12480671828571119,-0.011231133167816092,-0.07156049215615443,-0.4378157851697505,1.5354553382992921
B0.017Hf0.074N0.547Si0.032Ta0.082Ti0.199Zr0.049,-1046.5795914664425,-50.10575100793239,-28.951644115201894,18.140857409567868,-14.506438892947838,-8.460370234705794,-4.918809955372609,-3.79079539226885,-3.4499398014250775,-3.953870908579711,1.821614912278042,-1.7329803316097585,0.6967981654345541,0.6108290525836269,-0.6613541597138881,-1.2229186439963824,-0.5886644755711388,0.2631465631875692,-1.98306324875701,0.9588811407557183,-0.5868589727969563,-0.044550588642377015,-9.43856381280955,0.21674719644426832,0.1512976283037599
